MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Velvet Buzzsaw,2019.0,"
Horror, Mystery, Thriller            ",5.7,"
A satire set in the contemporary art world scene of Los Angeles, where big money artists and mega-collectors pay a high price when art collides with commerce.","
    Director:
Dan Gilroy
| 
    Stars:
Jake Gyllenhaal, 
Rene Russo, 
Zawe Ashton, 
Tom Sturridge
",0.06299445982144847,0.1324736225087925,0.0
Secret Obsession,2019.0,"
Thriller            ",4.4,"
Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember.","
    Director:
Peter Sullivan
| 
    Stars:
Brenda Song, 
Mike Vogel, 
Dennis Haysbert, 
Ashley Scott
",0.021778517656812015,0.11371629542790151,0.0
Don't F**k with Cats: Hunting an Internet Killer,2019.0,"
Documentary, Crime            ",8.0,"
A group of online justice seekers track down a guy who posted a video of himself killing kittens.","
            
    Stars:
Deanna Thompson, 
John Green, 
Claudette Hamlin, 
Antonio Paradiso
",0.047721083432503864,0.21922626025791322,0.0
Suburbicon,2017.0,"
Comedy, Crime, Drama            ",5.7,"
As a 1950s suburban community self-destructs, a home invasion has sinister consequences for one seemingly normal family.","
    Director:
George Clooney
| 
    Stars:
Matt Damon, 
Julianne Moore, 
Oscar Isaac, 
Noah Jupe
",0.046651378804694214,0.123094958968347,0.011468026428047064
Bajocero,2021.0,"
Action, Adventure, Crime            ",6.2,"
On a lonely road, a prison transport is brutally assaulted. Martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him.","
    Director:
Lluís Quílez
| 
    Stars:
Javier Gutiérrez, 
Karra Elejalde, 
Luis Callejo, 
Andrés Gertrúdix
",0.017852924527881404,0.12426729191090269,0.0
The Titan,2018.0,"
Drama, Mystery, Romance            ",4.8,"
A military family takes part in a ground-breaking experiment of genetic evolution and space exploration.","
    Director:
Lennart Ruff
| 
    Stars:
Sam Worthington, 
Taylor Schilling, 
Tom Wilkinson, 
Agyness Deyn
",0.03276750415624819,0.11371629542790151,0.0
W lesie dzis nie zasnie nikt,2020.0,"
Horror, Thriller            ",4.8,"
A group of technology-dependent teenagers goes to offline camp and faces a deadly danger lurking in the woods.","
    Director:
Bartosz M. Kowalski
| 
    Stars:
Julia Wieniawa-Narkiewicz, 
Michal Lupa, 
Wiktoria Gasiewska, 
Stanislaw Cywka
",0.009203916901778828,0.11957796014067995,0.0
The King: Youngwonui Gunjoo,2020.0,"
Fantasy, Mystery, Romance            ",8.3,"
A modern-day Korean emperor passes through a mysterious portal and into a parallel world, where he encounters a feisty police detective.","
            
    Stars:
Lee Min-Ho, 
Kim Go-eun, 
Woo Do-Hwan, 
Kim Kyung-Nam
",0.0089899759762169,0.08206330597889801,0.0
Horse Girl,2020.0,"
Drama, Mystery, Thriller            ",5.9,"
Sarah, a socially isolated woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.","
    Director:
Jeff Baena
| 
    Stars:
Alison Brie, 
Molly Shannon, 
Goldenite, 
Stella Chestnut
",0.01771809717375123,0.12075029308323564,0.0
Small Town Crime,2017.0,"
Crime, Mystery, Thriller            ",6.6,"
An alcoholic ex cop finds a woman on the roadside, left for dead. He offers to find the killer pro bono as P.I. Her granddad hires him. Things get nasty.","
    Directors:
Eshom Nelms, 
Ian Nelms
| 
    Stars:
John Hawkes, 
Anthony Anderson, 
Octavia Spencer, 
Robert Forster
",0.011677608853588636,0.10668229777256741,0.0
The Two Popes,2019.0,"
Comedy, Drama            ",7.6,"
Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.","
    Director:
Fernando Meirelles
| 
    Stars:
Anthony Hopkins, 
Jonathan Pryce, 
Juan Minujín, 
Luis Gnecco
",0.126832426312951,0.1465416178194607,0.0
A Fall from Grace,2020.0,"
Drama, Fantasy, Thriller            ",5.9,"
Disheartened since her ex-husband's affair, Grace Waters feels restored by a new romance. But when secrets erode her short-lived joy, Grace's vulnerable side turns violent.","
    Director:
Tyler Perry
| 
    Stars:
Crystal Fox, 
Phylicia Rashad, 
Bresha Webb, 
Mehcad Brooks
",0.014886722737017574,0.1406799531066823,0.0
Alexa & Katie,2018.0,"
Comedy, Drama            ",7.5,"
Lifelong best friends Alexa Mendoza and Katie Cooper are anticipating the start of their freshman year of high school. They confront a crisis that leaves them feeling like outsiders at a time when fitting in is what seems to matter most.","
            
    Stars:
Paris Berelc, 
Isabel May, 
Jolie Jenkins, 
Emery Kelly
",0.004078248893524276,0.029308323563892142,0.0
Goosebumps,1995.0,"
Family, Fantasy, Horror            ",7.7,"
A series of scary anthology stories based on the children's books by R.L. Stine. Series one was hosted by R.L. Stine.","
            
    Stars:
R.L. Stine, 
Kathryn Short, 
Cody Jones, 
Scott Wickware
",0.013847103551865074,0.025791324736225085,0.0
The Italian Job,1969.0,"
Action, Comedy, Crime            ",7.3,"
Comic caper movie about a plan to steal a gold shipment from the streets of Turin by creating a traffic jam.","
    Director:
Peter Collinson
| 
    Stars:
Michael Caine, 
Noël Coward, 
Benny Hill, 
Raf Vallone
",0.048777416752465885,0.11606096131301288,0.0
Better Watch Out,2016.0,"
Comedy, Horror, Thriller            ",6.5,"
On a quiet suburban street, a babysitter must defend a twelve-year-old boy from intruders, only to discover it's far from a normal home invasion.","
    Director:
Chris Peckover
| 
    Stars:
Olivia DeJonge, 
Levi Miller, 
Ed Oxenbould, 
Aleks Mikic
",0.037554432365696354,0.10433763188745603,3.968175234618361e-05
Love Wedding Repeat,2020.0,"
Comedy, Romance            ",5.5,"
While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the same day.","
    Director:
Dean Craig
| 
    Stars:
Sam Claflin, 
Olivia Munn, 
Freida Pinto, 
Eleanor Tomlinson
",0.020901582717138895,0.11723329425556857,0.0
Killerman,2019.0,"
Action, Crime, Thriller            ",5.4,"
Two NYC money launderers make a quick drug deal. Things go wrong, as dirty cops are involved. One of the friends gets amnesia during their escape with the drugs and money.","
    Director:
Malik Bader
| 
    Stars:
Liam Hemsworth, 
Emory Cohen, 
Diane Guerrero, 
Zlatko Buric
",0.0050086690645878736,0.1313012895662368,0.0005555445328465706
Blitz,2011.0,"
Action, Crime, Thriller            ",6.2,"
A tough cop is dispatched to take down a serial killer who has been targeting police officers.","
    Director:
Elliott Lester
| 
    Stars:
Jason Statham, 
Paddy Considine, 
Aidan Gillen, 
Zawe Ashton
",0.09335067146250908,0.11371629542790151,0.0
The Devil's Own,1997.0,"
Action, Crime, Drama            ",6.2,"
A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding.","
    Director:
Alan J. Pakula
| 
    Stars:
Harrison Ford, 
Brad Pitt, 
Margaret Colin, 
Rubén Blades
",0.06926448892632855,0.13012895662368112,0.08505783615404457
Kaze tachinu,2013.0,"
Animation, Biography, Drama            ",7.8,"
A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.","
    Director:
Hayao Miyazaki
| 
    Stars:
Hideaki Anno, 
Hidetoshi Nishijima, 
Miori Takimoto, 
Masahiko Nishimura
",0.08661487513427021,0.1477139507620164,0.01033709648618083
Monster,2018.0,"
Crime, Drama            ",6.5,"
A smart, likeable, 17-year-old film student from Harlem sees his world turned upside down when he's charged with a murder. We follow his dramatic journey through a complex legal battle.","
    Director:
Anthony Mandler
| 
    Stars:
ASAP Rocky, 
John David Washington, 
Kelvin Harrison Jr., 
Roberto Lopez
",0.005079982706441851,0.1148886283704572,0.0
The Boss Baby: Back in Business,2018.0,"
Animation, Adventure, Comedy            ",6.5,"
With a little help from his brother and accomplice, Tim, Boss Baby tries to balance family life with his job at Baby Corp headquarters.","
            
    Stars:
JP Karliak, 
David W. Collins, 
Flula Borg, 
Pierce Gagnon
",0.0032848846278987877,0.029308323563892142,0.0
Spinning Out,2020.0,"
Drama, Sport            ",7.6,"
A figure skating Olympic hopeful's struggle to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.","
            
    Stars:
Kaya Scodelario, 
January Jones, 
Willow Shields, 
Evan Roderick
",0.013121710101131657,0.056271981242672915,0.0
Tenkû no shiro Rapyuta,1986.0,"
Animation, Adventure, Drama            ",8.0,"
A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.","
    Director:
Hayao Miyazaki
| 
    Stars:
Mayumi Tanaka, 
Keiko Yokozawa, 
Kotoe Hatsui, 
Minori Terada
",0.17316735083191817,0.1465416178194607,0.0
I Don't Feel at Home in This World Anymore,2017.0,"
Comedy, Crime, Drama            ",6.9,"
When a depressed woman is burgled, she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbour. But they soon find themselves dangerously out of their depth against a pack of degenerate criminals.","
    Director:
Macon Blair
| 
    Stars:
Melanie Lynskey, 
Chris Doubek, 
Marilyn Faith Hickey, 
Jared Roylance
",0.0581618463101876,0.10902696365767878,0.0
The Meyerowitz Stories (New and Selected),2017.0,"
Comedy, Drama            ",6.9,"
An estranged family gathers together in New York City for an event celebrating the artistic work of their father.","
    Director:
Noah Baumbach
| 
    Stars:
Adam Sandler, 
Grace Van Patten, 
Dustin Hoffman, 
Elizabeth Marvel
",0.05019477538431367,0.1313012895662368,0.0
Alta mar,2019.0,"
Crime, Drama, Mystery            ",6.8,"
Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.","
            
    Stars:
Ivana Baquero, 
Jon Kortajarena, 
Alejandra Onieva, 
Eloy Azorín
",0.0072238490646770155,0.058616647127784284,0.0
Super Dark Times,2017.0,"
Crime, Drama, Horror            ",6.6,"
Teenagers Zach and Josh have been best friends their whole lives, but when a gruesome accident leads to a cover-up, the secret drives a wedge between them and propels them down a rabbit hole of escalating paranoia and violence.","
    Director:
Kevin Phillips
| 
    Stars:
Owen Campbell, 
Charlie Tahan, 
Elizabeth Cappuccino, 
Amy Hargreaves
",0.023360789085447115,0.12075029308323564,5.952262851927541e-05
Clickbait,2021.0,"
Crime, Drama, Mystery            ",0.0,"
A collection of stories that show how people's uncontrolled impulses are fueled in the age of social media.","
            
    Stars:
Jessica Collins, 
Camaron Engels, 
Jaylin Fletcher, 
Motell Gyn Foster
",0.0,0.0,0.0
Zwartboek,2006.0,"
Drama, Thriller, War            ",7.7,"
In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.","
    Director:
Paul Verhoeven
| 
    Stars:
Carice van Houten, 
Sebastian Koch, 
Thom Hoffman, 
Halina Reijn
",0.08261128270956182,0.16998827667057442,0.008729985516160395
The Half of It,2020.0,"
Comedy, Drama, Romance            ",6.9,"
When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.","
    Director:
Alice Wu
| 
    Stars:
Leah Lewis, 
Daniel Diemer, 
Alexxis Lemire, 
Wolfgang Novogratz
",0.03508631179215639,0.12192262602579132,0.0
Flaked,2016.0,"
Comedy, Drama, Romance            ",7.2,"
A recovering alcoholic faces reality after a life changing accident in Venice Beach, California.","
            
    Stars:
Will Arnett, 
David Sullivan, 
Ruth Kearney, 
George Basil
",0.012014120101087086,0.035169988276670575,0.0
Before I Wake,2016.0,"
Drama, Fantasy, Horror            ",6.2,"
A couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.","
    Director:
Mike Flanagan
| 
    Stars:
Kate Bosworth, 
Oleksandr Reshetilov, 
Thomas Jane, 
Jacob Tremblay
",0.04720294525340857,0.11371629542790151,0.0
Gwimul,2021.0,"
Drama, Mystery, Thriller            ",8.2,"
The story of two fearless men who are willing to go through extreme lengths in their pursuit of a returning serial killer. To uncover the murderer's identity, the two are forced to look deeper than what the evidence seems to suggest.","
            
    Stars:
Shin Ha-kyun, 
Yeo Jin-gu, 
Sung-eun Choi, 
Choi Dae-hoon
",0.0012847598290255436,0.08206330597889801,0.0
Someone Great,2019.0,"
Comedy, Romance            ",6.2,"
After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship.","
    Director:
Jennifer Kaytin Robinson
| 
    Stars:
Gina Rodriguez, 
LaKeith Stanfield, 
Brittany Snow, 
DeWanda Wise
",0.021761803522002486,0.10785463071512309,0.0
Feel the Beat,2020.0,"
Comedy, Drama, Family            ",6.3,"
After failing to find success on Broadway, April returns to her hometown and reluctantly is recruited to train a misfit group of young dancers for a big competition.","
    Director:
Elissa Down
| 
    Stars:
Sofia Carson, 
Pamela MacDonald, 
Sonia Laplante, 
Nayo
",0.010474191147302784,0.12778429073856976,0.0
"See No Evil, Hear No Evil",1989.0,"
Comedy, Crime            ",6.9,"
Dave is deaf, and Wally is blind. They witness a murder, but it was Dave who was looking at her, and Wally who was listening.","
    Director:
Arthur Hiller
| 
    Stars:
Richard Pryor, 
Gene Wilder, 
Joan Severance, 
Kevin Spacey
",0.05770610756771453,0.12075029308323564,0.09307355012797365
Aseudal Yeondaegi,2019.0,"
Action, Drama, Fantasy            ",8.4,"
Arthdal Chronicles depicts the birth of civilization and nations in ancient times. It is a story of mythical heroes, their struggle, unity and love of people living in a virtual land called Arth.","
            
    Stars:
Song Joong-ki, 
Kim Ji-Won, 
Jang Dong-Gun, 
Kim Ok-bin
",0.003639224285860733,0.09378663540445487,0.0
Dare Me,2019.0,"
Crime, Mystery, Thriller            ",6.7,"
The lives of several cheerleaders are changed forever when a shocking crime rocks their quiet suburban world.","
            
    Stars:
Willa Fitzgerald, 
Herizen F. Guardiola, 
Marlo Kelly, 
Rob Heaps
",0.004511702122917976,0.0492379835873388,0.0
Dolemite Is My Name,2019.0,"
Biography, Comedy, Drama            ",7.3,"
Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.","
    Director:
Craig Brewer
| 
    Stars:
Eddie Murphy, 
Keegan-Michael Key, 
Mike Epps, 
Craig Robinson
",0.06308248759811197,0.13833528722157093,0.0
Le Bazar de la Charité,2019.0,"
Drama, History            ",7.7,"
After a devastating fire in 1897 Paris, three women find their lives upended by betrayal, deception, and romantic turmoil. Inspired by real events.","
            
    Stars:
Audrey Fleurot, 
Julie De Bona, 
Camille Lou, 
Gilbert Melki
",0.0041629338432258725,0.056271981242672915,0.0
Beasts of No Nation,2015.0,"
Drama, War            ",7.7,"
A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.","
    Director:
Cary Joji Fukunaga
| 
    Stars:
Abraham Attah, 
Emmanuel Affadzi, 
Ricky Adelayitor, 
Andrew Adote
",0.08527551579820022,0.16060961313012895,0.00015872700938473444
Killjoys,2015.0,"
Action, Adventure, Sci-Fi            ",7.2,"
In the Quad, a planetary system on the brink of a bloody interplanetary class war, a fun loving trio of bounty hunters attempt to remain impartial as they chase deadly warrants.","
            
    Stars:
Hannah John-Kamen, 
Aaron Ashmore, 
Luke Macfarlane, 
Tamsen McDonough
",0.023170247948618522,0.0492379835873388,0.0
Don't Trust the B---- in Apartment 23,2012.0,"
Comedy            ",7.3,"
Chloe is a New York party girl with the morals of a pirate. She causes trouble for her naive small town roommate, June, and Chloe's best friend, James Van Der Beek.","
            
    Stars:
Krysten Ritter, 
Dreama Walker, 
Michael Blaiklock, 
Eric André
",0.03936624457904894,0.025791324736225085,0.0
Vivir sin permiso,2018.0,"
Drama            ",7.5,"
Nemo Bandeira, a dealer with a clean businessman facade, is diagnosed with Alzheimer's disease and tries to keep it from his family while he starts to think about who might be his successor.","
            
    Stars:
Jose Coronado, 
Álex González, 
Claudia Traisac, 
Luis Zahera
",0.004199704939806829,0.08792497069167643,0.0
We Summon the Darkness,2019.0,"
Horror, Music, Thriller            ",5.2,"
Three best friends embark on a road trip to a heavy-metal show, where they bond with three aspiring musicians and head off to one of the girls' country home for an after-party.","
    Director:
Marc Meyers
| 
    Stars:
Alexandra Daddario, 
Keean Johnson, 
Maddie Hasson, 
Amy Forsyth
",0.009579427797166173,0.10668229777256741,0.0
Voltron: Legendary Defender,2016.0,"
Animation, Action, Adventure            ",8.1,"
Five teenagers become the last line of defense for the galaxy in an intergalactic battle against the evil alien force led by King Zarkon.","
            
    Stars:
Jeremy Shada, 
Bex Taylor-Klaus, 
Tyler Labine, 
Kimberly Brooks
",0.00896211908486769,0.026963657678780773,0.0
Kalifat,2020.0,"
Crime, Drama, Thriller            ",8.2,"
Agent Fatima gets a tip that a terrorist act is planned in Sweden. At the same time, the teenager Sulle has opened her eyes to her student assistant who opens the doors to a new fascinating world.","
            
    Stars:
Gizem Erdogan, 
Amed Bozan, 
Aliette Opheim, 
Albin Grenholm
",0.016936989940319395,0.053927315357561546,0.0
Final Score,2018.0,"
Action, Drama, Thriller            ",5.8,"
After deadly terrorists abduct his niece at a soccer match, an ex-soldier with lethal fighting skills wages a one-man war to save her and prevent mass destruction.","
    Director:
Scott Mann
| 
    Stars:
Martyn Ford, 
Gordon Alexander, 
Alexandra Dinu, 
Peter Pedrero
",0.011809093380756905,0.12192262602579132,0.0
Sick Note,2017.0,"
Comedy, Crime            ",6.8,"
When Daniel Glass is misdiagnosed with a fatal disease he begins to notice how everyone around him treats him better, so he decides to keep pretending that he really is sick. This leads to more lies, and, eventually, crimes.","
            
    Stars:
Rupert Grint, 
Nick Frost, 
Pippa Bennett-Warner, 
Marama Corlett
",0.00720713492986749,0.035169988276670575,0.0
When We First Met,2018.0,"
Comedy, Fantasy, Romance            ",6.4,"
Noah meets Avery at a Halloween party and falls in love but gets friend-zoned. 3 years later, she's engaged to someone else. Noah returns in a time machine to fix things.","
    Director:
Ari Sandel
| 
    Stars:
Adam Devine, 
Alexandra Daddario, 
Shelley Hennig, 
Andrew Bachelor
",0.04994406336217079,0.11371629542790151,0.0
Isn't It Romantic,2019.0,"
Comedy, Fantasy, Musical            ",5.9,"
A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.","
    Director:
Todd Strauss-Schulson
| 
    Stars:
Rebel Wilson, 
Liam Hemsworth, 
Adam Devine, 
Priyanka Chopra Jonas
",0.07307865448986232,0.10433763188745603,0.09680363484851492
Great News,2017.0,"
Comedy            ",7.0,"
A New Jersey mom puts her relationship with her daughter to the test when she lands an internship at her new job, which comes with many challenges.","
            
    Stars:
Briga Heelan, 
Andrea Martin, 
Adam Campbell, 
Nicole Richie
",0.006638854346343616,0.025791324736225085,0.0
Karppi,2018.0,"
Crime, Drama, Mystery            ",7.2,"
When Sofia Karppi discovers the body of a young woman on a construction site, she triggers a chain of events that threatens to destroy her life again.","
            
    Stars:
Pihla Viitala, 
Lauri Tilkanen, 
Mimosa Willamo, 
Noa Tola
",0.008097441177388228,0.052754982415005855,0.0
La trêve,2016.0,"
Crime, Drama, Thriller            ",7.6,"
Crime series kick-started by the finding on a young man's body.","
            
    Stars:
Yoann Blanc, 
Jasmina Douieb, 
Lara Hubinont, 
Tom Audenaert
",0.006614340281956311,0.06096131301289566,0.0
Red Dot,2021.0,"
Drama, Horror, Thriller            ",5.5,"
When Nadja becomes pregnant, they make an attempt to rekindle their relationship by traveling to the north of Sweden for a hiking trip but soon their romantic trip turns into a nightmare.","
    Director:
Alain Darborg
| 
    Stars:
Nanna Blondell, 
Johannes Kuhnke, 
Anastasios Soulis, 
Anna Azcárate
",0.012875455181604645,0.10082063305978897,0.0
The Midnight Gospel,2020.0,"
Animation, Adventure, Comedy            ",8.2,"
Clancy, a spacecaster with a malfunctioning multiverse simulator, leaves the comfort of his home to interview beings living in dying worlds.","
            
    Stars:
Phil Hendrie, 
Duncan Trussell, 
Joey Diaz, 
Doug Lussenhop
",0.015522974135433519,0.026963657678780773,0.0
Rise of Empires: Ottoman,2020.0,"
Documentary, Drama, History            ",7.9,"
Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries.","
            
    Stars:
Cem Yigit Uzümoglu, 
Tommaso Basili, 
Selim Bayraktar, 
Birkan Sokullu
",0.022303341489831117,0.05158264947245017,0.0
Ludo,2020.0,"
Action, Comedy, Crime            ",7.6,"
From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.","
    Director:
Anurag Basu
| 
    Stars:
Pankaj Tripathi, 
Abhishek Bachchan, 
Rajkummar Rao, 
Fatima Sana Shaikh
",0.03762463173189636,0.17467760844079716,0.0
Derek,2012.0,"
Comedy, Drama            ",8.0,"
Derek is a loyal nursing home care assistant who sees only the good in his quirky co-workers as they struggle against prejudice and shrinking budgets to care for their elderly residents.","
            
    Stars:
Ricky Gervais, 
Kerry Godliman, 
David Earl, 
Tim Barlow
",0.03258364867334341,0.026963657678780773,0.0
Tyrant,2014.0,"
Action, Drama, Thriller            ",7.8,"
An unassuming American family is drawn into the workings of a turbulent Middle Eastern nation.","
            
    Stars:
Adam Rayner, 
Jennifer Finnigan, 
Ashraf Barhom, 
Moran Atias
",0.024875089699190146,0.07033997655334115,0.0
Athlete A,2020.0,"
Documentary, Crime, Sport            ",7.6,"
Follow the Indianapolis Star reporters that broke the story about USA Gymnastics doctor Larry Nassar's abuse and hear from gymnasts like Maggie Nichols.","
    Directors:
Bonni Cohen, 
Jon Shenk
| 
    Stars:
Maggie Nichols, 
Gina Nichols, 
John Nichols, 
Steve Berta
",0.009835711197578902,0.12075029308323564,0.0
Verónica,2017.0,"
Horror            ",6.2,"
Madrid, 1991. A teen girl finds herself besieged by an evil supernatural force after she played Ouija with two classmates.","
    Director:
Paco Plaza
| 
    Stars:
Sandra Escacena, 
Bruna González, 
Claudia Placer, 
Iván Chavero
",0.04206502021296036,0.123094958968347,0.0
Chambers,2019.0,"
Drama, Fantasy, Horror            ",6.5,"
A woman survives a heart transplant and begins to develop different personality traits.","
            
    Stars:
Sivan Alyra Rose, 
Marcus LaVoi, 
Nicholas Galitzine, 
Kyanna Simone Simpson
",0.008684664447029563,0.07033997655334115,0.0
The Frankenstein Chronicles,2015.0,"
Crime, Drama, Fantasy            ",7.3,"
Inspector John Marlott investigates a series of crimes in 19th Century London, which may have been committed by a scientist intent on re-animating the dead.","
            
    Stars:
Sean Bean, 
Richie Campbell, 
Tom Ward, 
Ryan Sampson
",0.011801293451179124,0.056271981242672915,0.0
The Ghost Writer,2010.0,"
Crime, Drama, Mystery            ",7.2,"
A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy.","
    Director:
Roman Polanski
| 
    Stars:
Ewan McGregor, 
Pierce Brosnan, 
Olivia Williams, 
Jon Bernthal
",0.1772701137898298,0.15005861664712777,0.030832721572984664
The Boy Who Harnessed the Wind,2019.0,"
Biography, Drama, History            ",7.6,"
Against all the odds, a thirteen-year-old boy in Malawi invents an unconventional way to save his family and village from famine.","
    Director:
Chiwetel Ejiofor
| 
    Stars:
Chiwetel Ejiofor, 
Maxwell Simba, 
Felix Lemburo, 
Robert Agengo
",0.036393357134261305,0.1324736225087925,0.0
Hoo-goong: Je-wang-eui cheob,2012.0,"
Drama, History, Romance            ",6.1,"
A tragic love triangle story between Hwa-Yeon, a daughter of a nobleman, her true love Kwon-Yoo, a servant and the man who will be King, Prince Sungwon.","
    Director:
Dae-seung Kim
| 
    Stars:
Yeo-jeong Cho, 
Dong-wook Kim, 
Min-Joon Kim, 
Ji-Young Park
",0.0019566680483684776,0.14302461899179367,0.0
War Machine,2017.0,"
Comedy, Drama, War            ",6.0,"
An idiosyncratic general confronts opposition from enemies, allies, and bureaucrats while leading a massive rebuilding operation in Afghanistan.","
    Director:
David Michôd
| 
    Stars:
Brad Pitt, 
Daniel Betts, 
John Magaro, 
Emory Cohen
",0.04855344734601824,0.14302461899179367,0.0
Traitors,2019.0,"
Thriller            ",6.6,"
A British civil servant agrees to spy on her own government for the Americans in the aftermath of WWII.","
            
    Stars:
Emma Appleton, 
Brandon P Bell, 
Keeley Hawes, 
Luke Treadaway
",0.002861459879390803,0.07033997655334115,0.0
Welcome Home,2018.0,"
Thriller            ",5.2,"
A couple spend a weekend at a vacation rental home in the Italian countryside in an attempt to repair their relationship, but soon become victims of the homeowner's sinister plans.","
    Director:
George Ratliff
| 
    Stars:
Emily Ratajkowski, 
Aaron Paul, 
Riccardo Scamarcio, 
Katy Louise Saunders
",0.007628331127067538,0.11371629542790151,0.0
Big Timber,2020.0,"
Reality-TV            ",6.5,"
Big Timber follows the dangerous work of logger and sawmill owner Kevin Wenstob as he and his crew go to extremes to keep the family sawmill, and their way of life, alive.","
            
    Stars:
Sarah Fleming, 
Erik Wenstob, 
Kevin Wenstob, 
Coleman Willner
",0.0,0.0,0.0
The Good Cop,2018.0,"
Comedy, Crime, Drama            ",7.1,"
A disgraced former NYPD officer lives with his son, an earnest, obsessively honest NYPD detective.","
            
    Stars:
Tony Danza, 
Josh Groban, 
Monica Barbaro, 
Isiah Whitlock Jr.
",0.005763033682324468,0.07033997655334115,0.0
Chen qing ling,2019.0,"
Action, Adventure, Drama            ",9.0,"
Two talented disciples of respectable magical clans unit during the cultivation training and through many hardships they are together.","
            
    Stars:
Zhan Xiao, 
Yibo Wang, 
Zhuocheng Wang, 
Lu Xuan
",0.005181381790952973,0.058616647127784284,0.0
Batman: The Movie,1966.0,"
Adventure, Comedy, Crime            ",6.5,"
The Dynamic Duo faces four supervillains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.","
    Director:
Leslie H. Martinson
| 
    Stars:
Adam West, 
Burt Ward, 
Lee Meriwether, 
Cesar Romero
",0.03410797776797215,0.123094958968347,0.0
Dark Places,2015.0,"
Crime, Drama, Mystery            ",6.2,"
Libby Day was only eight years old when her family was brutally murdered in their rural Kansas farmhouse. Almost thirty years later, she reluctantly agrees to revisit the crime and uncovers the wrenching truths that led up to that tragic night.","
    Director:
Gilles Paquet-Brenner
| 
    Stars:
Charlize Theron, 
Nicholas Hoult, 
Christina Hendricks, 
Chloë Grace Moretz
",0.04821805037417377,0.1324736225087925,0.0
6 Days,2017.0,"
Action, Drama, History            ",6.2,"
Based on the Iranian Embassy siege of 1980, this action-thriller dramatizes a six-day standoff between armed Iranian Arabs and SAS soldiers ready for a counterattack.","
    Director:
Toa Fraser
| 
    Stars:
Jamie Bell, 
Mark Strong, 
Abbie Cornish, 
Martin Shaw
",0.022139542968697766,0.11019929660023446,0.0
Toy Boy,2019.0,"
Crime, Drama, Thriller            ",6.4,"
A stripper sets out to prove his innocence for a crime he didn't commit and was unjustly incarcerated for seven years earlier.","
            
    Stars:
Jesús Mosquera, 
Cristina Castaño, 
María Pedraza, 
José de la Torre
",0.006433827626013433,0.0,0.0
The Hour,2011.0,"
Drama            ",8.0,"
A behind-the-scenes drama and espionage thriller in Cold War-era England that centers on a journalist, a producer, and an anchorman for an investigative news programme.","
            
    Stars:
Romola Garai, 
Ben Whishaw, 
Dominic West, 
Anna Chancellor
",0.010867530453153623,0.07033997655334115,0.0
Tall Girl,2019.0,"
Comedy, Drama, Family            ",5.2,"
Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall.","
    Director:
Nzingha Stewart
| 
    Stars:
Ava Michelle, 
Griffin Gluck, 
Sabrina Carpenter, 
Paris Berelc
",0.021594662173907226,0.11840562719812425,0.0
